config_id,robot_initial_pose_x,robot_initial_pose_y,robot_initial_pose_z,robot_initial_pose_q1,robot_initial_pose_q2,robot_initial_pose_q3,robot_initial_pose_q4,initial_mass_measured_g,width_top_est_mm_vision,width_bottom_est_mm_vision,height_est_mm_vision,geometry_est_timepoint,mass_full_est_g_vision,mass_full_est_vision_timepoint,fill_level_est_percent_vision,fill_level_vision_timepoint,spill_observed_during_human_maneuvering,robot_mass_est_available,robot_mass_est_g,robot_mass_est_timepoint,delivery_location_est_x_mm,delivery_location_est_y_mm,delivery_location_est_z_mm,final_mass_null_flag,final_mass_measured_g,t_human_first_contact_ms,t_human_last_contact_ms,t_robot_first_contact_ms,t_robot_last_contact_ms
27,0,0,0,0,0,0,1,17,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,5,3,0,0,17,0,3790,3790,12450
28,0,0,0,0,0,0,1,305,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,-3,-10,0,0,305,0,5660,5660,14930
29,0,0,0,0,0,0,1,305,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,-3,-5,0,0,305,0,5280,5280,15100
30,0,0,0,0,0,0,1,305,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-3,0,0,305,0,6700,6700,16230
31,0,0,0,0,0,0,1,305,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-5,0,0,305,0,5510,5510,16040
32,0,0,0,0,0,0,1,305,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-19,0,0,305,0,6270,6270,16870
33,0,0,0,0,0,0,1,305,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-30,0,0,305,0,5630,5630,15960
34,0,0,0,0,0,0,1,305,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-9,0,0,305,0,7490,7490,16020
35,0,0,0,0,0,0,1,305,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-3,0,0,305,0,7030,7030,16830
36,0,0,0,0,0,0,1,305,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,5,7,0,0,305,0,6190,6190,14700
37,0,0,0,0,0,0,1,14,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-32,0,0,14,0,8020,8020,17930
38,0,0,0,0,0,0,1,14,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,X,X,0,0,14,0,-1,-1,-1
39,0,0,0,0,0,0,1,14,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,X,X,0,0,14,0,-1,-1,-1
40,0,0,0,0,0,0,1,14,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,X,X,0,0,14,0,-1,-1,-1
41,0,0,0,0,0,0,1,14,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,X,X,0,0,14,0,-1,-1,-1
42,0,0,0,0,0,0,1,14,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-23,0,0,14,0,8090,8090,17560
43,0,0,0,0,0,0,1,14,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,5,-35,0,0,14,0,7850,7850,17600
44,0,0,0,0,0,0,1,14,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-20,0,0,14,0,7190,7190,16980
45,0,0,0,0,0,0,1,14,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-30,0,0,14,0,6420,6420,14920
46,0,0,0,0,0,0,1,338,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-27,0,0,338,0,7570,7570,18020
47,0,0,0,0,0,0,1,338,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-12,0,0,338,0,5820,5820,16140
48,0,0,0,0,0,0,1,338,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-18,0,0,338,0,7120,7120,15870
49,0,0,0,0,0,0,1,338,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-22,0,0,338,0,6880,6880,16290
50,0,0,0,0,0,0,1,338,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-30,0,0,338,0,7520,7520,17340
51,0,0,0,0,0,0,1,338,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,6,-25,0,0,338,0,7070,7070,17210
52,0,0,0,0,0,0,1,338,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-18,0,0,338,0,5940,5940,14580
53,0,0,0,0,0,0,1,338,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-9,0,0,338,0,6840,6840,17010
54,0,0,0,0,0,0,1,338,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-19,0,0,338,0,6350,6350,14520
55,0,0,0,0,0,0,1,127,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,3,-13,0,0,127,0,4530,4530,15130
56,0,0,0,0,0,0,1,127,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-14,0,0,127,0,6170,6170,15680
57,0,0,0,0,0,0,1,127,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-22,0,0,127,0,7110,7110,15160
58,0,0,0,0,0,0,1,127,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-16,0,0,127,0,7290,7290,16710
59,0,0,0,0,0,0,1,127,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,4,-23,0,0,127,0,5710,5710,14800
60,0,0,0,0,0,0,1,127,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,1,-21,0,0,127,0,6020,6020,14880
61,0,0,0,0,0,0,1,127,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-23,0,0,127,0,6760,6760,15250
62,0,0,0,0,0,0,1,127,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,7,-18,0,0,127,0,6230,6230,14750
63,0,0,0,0,0,0,1,127,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-24,0,0,127,0,5970,5970,13870
64,0,0,0,0,0,0,1,344,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-15,0,0,344,0,6050,6050,16240
65,0,0,0,0,0,0,1,344,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,12,-15,0,0,344,0,8750,8750,19010
66,0,0,0,0,0,0,1,344,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-16,0,0,344,0,6270,6270,14590
67,0,0,0,0,0,0,1,344,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,-5,-7,0,0,344,0,5800,5800,16350
68,0,0,0,0,0,0,1,344,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-20,0,0,344,0,7070,7070,17160
69,0,0,0,0,0,0,1,344,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-15,0,0,344,0,5910,5910,16160
70,0,0,0,0,0,0,1,344,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-18,0,0,344,0,6190,6190,14630
71,0,0,0,0,0,0,1,344,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-16,0,0,344,0,5790,5790,14110
72,0,0,0,0,0,0,1,344,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-18,0,0,344,0,6010,6010,13930
73,0,0,0,0,0,0,1,11,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-2,0,0,11,0,6020,6020,16190
74,0,0,0,0,0,0,1,11,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,1,0,0,11,0,6350,6350,15710
75,0,0,0,0,0,0,1,11,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,1,0,0,11,0,9500,9500,19420
76,0,0,0,0,0,0,1,11,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-5,0,0,11,0,8060,8060,17850
77,0,0,0,0,0,0,1,11,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-5,0,0,11,0,6760,6760,16250
78,0,0,0,0,0,0,1,11,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-2,0,0,11,0,9480,9480,17770
79,0,0,0,0,0,0,1,11,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-2,0,0,11,0,6470,6470,16680
80,0,0,0,0,0,0,1,11,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,-1,-4,0,0,11,0,5380,5380,14520
81,0,0,0,0,0,0,1,11,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-3,0,0,11,0,5540,5540,14420
82,0,0,0,0,0,0,1,102,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,-1,-2,0,0,102,0,6890,6890,16760
83,0,0,0,0,0,0,1,102,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-2,0,0,102,0,4760,4760,14900
84,0,0,0,0,0,0,1,102,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,1,0,0,0,102,0,5290,5290,15930
85,0,0,0,0,0,0,1,102,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-5,0,0,102,0,6010,6010,14310
86,0,0,0,0,0,0,1,102,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,-2,-3,0,0,102,0,3780,3780,14110
87,0,0,0,0,0,0,1,102,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-2,0,0,102,0,6810,6810,16400
88,0,0,0,0,0,0,1,102,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,-1,-3,0,0,102,0,6950,6950,16920
89,0,0,0,0,0,0,1,102,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-2,0,0,102,0,6060,6060,15540
90,0,0,0,0,0,0,1,102,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,2,0,0,102,0,6420,6420,15670
91,0,0,0,0,0,0,1,17,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,2,0,0,17,0,5660,5660,14990
92,0,0,0,0,0,0,1,17,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,0,0,0,17,0,6840,6840,16590
93,0,0,0,0,0,0,1,17,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,-1,-5,0,0,17,0,5580,5580,15830
94,0,0,0,0,0,0,1,17,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,-1,-4,0,0,17,0,6640,6640,16990
95,0,0,0,0,0,0,1,17,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-3,0,0,17,0,6080,6080,14490
96,0,0,0,0,0,0,1,17,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,0,0,0,17,0,7120,7120,16590
97,0,0,0,0,0,0,1,17,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,0,0,0,17,0,6040,6040,15690
98,0,0,0,0,0,0,1,17,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,1,-5,0,0,17,0,5680,5680,15750
99,0,0,0,0,0,0,1,17,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,1,4,0,0,17,0,3440,3440,11970
100,0,0,0,0,0,0,1,305,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,-1,0,0,0,305,0,6050,6050,15340
101,0,0,0,0,0,0,1,305,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,-1,1,0,0,305,0,5190,5190,14720
102,0,0,0,0,0,0,1,305,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,2,0,0,305,0,6590,6590,16600
103,0,0,0,0,0,0,1,305,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,1,0,0,305,0,5220,5220,16160
104,0,0,0,0,0,0,1,305,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-2,0,0,305,0,5820,5820,16820
105,0,0,0,0,0,0,1,305,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-6,0,0,305,0,6090,6090,16100
106,0,0,0,0,0,0,1,305,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,0,0,0,305,0,7520,7520,16450
107,0,0,0,0,0,0,1,305,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,2,0,0,305,0,6540,6540,16680
108,0,0,0,0,0,0,1,305,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,1,5,0,0,305,0,6590,6590,14990
109,0,0,0,0,0,0,1,14,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-7,0,0,14,0,7580,7580,18410
110,0,0,0,0,0,0,1,14,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,X,X,0,0,14,0,-1,-1,-1
111,0,0,0,0,0,0,1,14,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,X,X,0,0,14,0,-1,-1,-1
112,0,0,0,0,0,0,1,14,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-4,0,0,14,0,8430,8430,17350
113,0,0,0,0,0,0,1,14,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,X,X,0,0,14,0,-1,-1,-1
114,0,0,0,0,0,0,1,14,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,X,X,0,0,14,0,-1,-1,-1
115,0,0,0,0,0,0,1,14,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,1,-8,0,0,14,0,8030,8030,18040
116,0,0,0,0,0,0,1,14,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-3,0,0,14,0,6980,6980,17050
117,0,0,0,0,0,0,1,14,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-6,0,0,14,0,6820,6820,15000
118,0,0,0,0,0,0,1,338,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-6,0,0,338,0,7580,7580,18410
119,0,0,0,0,0,0,1,338,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,0,0,0,338,0,6220,6220,16400
120,0,0,0,0,0,0,1,338,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-2,0,0,338,0,7500,7500,15640
121,0,0,0,0,0,0,1,338,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-4,0,0,338,0,6400,6400,16610
122,0,0,0,0,0,0,1,338,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-7,0,0,338,0,7110,7110,17440
123,0,0,0,0,0,0,1,338,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,2,-5,0,0,338,0,7330,7330,17290
124,0,0,0,0,0,0,1,338,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-2,0,0,338,0,5780,5780,14670
125,0,0,0,0,0,0,1,338,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,0,0,0,338,0,6940,6940,16920
126,0,0,0,0,0,0,1,338,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-3,0,0,338,0,5870,5870,14050
127,0,0,0,0,0,0,1,127,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-1,0,0,127,0,4800,4800,15250
128,0,0,0,0,0,0,1,127,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-1,0,0,127,0,6540,6540,15610
129,0,0,0,0,0,0,1,127,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-3,0,0,127,0,7130,7130,15160
130,0,0,0,0,0,0,1,127,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-2,0,0,127,0,7080,7080,17100
131,0,0,0,0,0,0,1,127,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,1,-4,0,0,127,0,6090,6090,14740
132,0,0,0,0,0,0,1,127,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-3,0,0,127,0,6250,6250,15030
133,0,0,0,0,0,0,1,127,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-4,0,0,127,0,6280,6280,14760
134,0,0,0,0,0,0,1,127,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,2,-2,0,0,127,0,6170,6170,14730
135,0,0,0,0,0,0,1,127,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-5,0,0,127,0,5700,5700,14060
136,0,0,0,0,0,0,1,344,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-2,0,0,344,0,5660,5660,16360
137,0,0,0,0,0,0,1,344,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,3,-1,0,0,344,0,8710,8710,19000
138,0,0,0,0,0,0,1,344,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-1,0,0,344,0,6330,6330,15010
139,0,0,0,0,0,0,1,344,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,-2,0,0,0,344,0,5800,5800,16500
140,0,0,0,0,0,0,1,344,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-3,0,0,344,0,7530,7530,16800
141,0,0,0,0,0,0,1,344,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-2,0,0,344,0,5920,5920,15770
142,0,0,0,0,0,0,1,344,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-2,0,0,344,0,6150,6150,14990
143,0,0,0,0,0,0,1,344,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-1,0,0,344,0,6160,6160,13680
144,0,0,0,0,0,0,1,344,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-2,0,0,344,0,6250,6250,13810
145,0,0,0,0,0,0,1,11,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-6,0,0,11,0,5220,5220,15940
146,0,0,0,0,0,0,1,11,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-3,0,0,11,0,5780,5780,15750
147,0,0,0,0,0,0,1,11,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,1,-4,0,0,11,0,9670,9670,18800
148,0,0,0,0,0,0,1,11,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-10,0,0,11,0,7310,7310,17230
149,0,0,0,0,0,0,1,11,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-10,0,0,11,0,6030,6030,15830
150,0,0,0,0,0,0,1,11,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-7,0,0,11,0,8490,8490,17950
151,0,0,0,0,0,0,1,11,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-6,0,0,11,0,6030,6030,15760
152,0,0,0,0,0,0,1,11,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,-1,-8,0,0,11,0,5190,5190,14470
153,0,0,0,0,0,0,1,11,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-7,0,0,11,0,5400,5400,14070
154,0,0,0,0,0,0,1,102,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,-1,-7,0,0,102,0,6530,6530,16030
155,0,0,0,0,0,0,1,102,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-7,0,0,102,0,4260,4260,14600
156,0,0,0,0,0,0,1,102,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,-3,-5,0,0,102,0,5030,5030,15050
157,0,0,0,0,0,0,1,102,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-10,0,0,102,0,5570,5570,14560
158,0,0,0,0,0,0,1,102,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,-1,-8,0,0,102,0,3400,3400,13330
159,0,0,0,0,0,0,1,102,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-6,0,0,102,0,6870,6870,16270
160,0,0,0,0,0,0,1,102,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-8,0,0,102,0,6880,6880,16370
161,0,0,0,0,0,0,1,102,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-7,0,0,102,0,5600,5600,15770
162,0,0,0,0,0,0,1,102,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-3,0,0,102,0,6110,6110,14880
163,0,0,0,0,0,0,1,17,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-3,0,0,17,0,5340,5340,15230
164,0,0,0,0,0,0,1,17,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-5,0,0,17,0,6170,6170,16270
165,0,0,0,0,0,0,1,17,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,-1,-10,0,0,17,0,5590,5590,15230
166,0,0,0,0,0,0,1,17,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-10,0,0,17,0,6120,6120,16480
167,0,0,0,0,0,0,1,17,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-7,0,0,17,0,5350,5350,13130
168,0,0,0,0,0,0,1,17,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-5,0,0,17,0,6400,6400,15820
